Ver,10
TagTypeCount,7
TagType,0,TagTypeName,模拟I/O量,Count,104,ParCount,62
NodePath,NAME,DESC,FORMAT,LASTPV,PV,EU,EULO,EUHI,PVRAW,SCALEFL,PVRAWLO,PVRAWHI,STATIS,ALMENAB,DEADBAND,LL,LO,HI,HH,RATE,DEV,LLPR,LOPR,HIPR,HHPR,RATEPR,DEVPR,RATECYC,SP,SQRTFL,ALARMDELAY,LINEFL,LINETBL,ROCFL,ROC,L3,L4,L5,L3PR,L4PR,L5PR,H3PR,H4PR,H5PR,H3,H4,H5,GROUP,INDEX,L5NAME,L4NAME,L3NAME,LLNAME,LONAME,HINAME,HHNAME,H3NAME,H4NAME,H5NAME,RATENAME,DEVNAME,ALMREMARK
点所在的节点路径,点名,说明,小数点位数,上次采样值,正常采样值,工程单位,工程单位低限,工程单位高限,原始值,量程转换开关,原始值低限,原始值高限,统计开关,报警使能,死区范围,低低限,低限,高限,高高限,变化率报警限值,偏差报警限值,低低限报警优先级,低限报警优先级,高限报警优先级,高高限报警优先级,变化率报警优先级,偏差报警优先级,变化周期,目标值,开平方转换开关,报警延时,折线化开关,折线化表,突变率开关,突变率值,低3限,低4限,低5限,低3限优先级,低4限优先级,低5限优先级,高3限优先级,高4限优先级,高5限优先级,高3限,高4限,高5限,报警分组号,序号,低5限名称,低4限名称,低3限名称,低低限名称,低限名称,高限名称,高高限名称,高3限名称,高4限名称,高5限名称,变化率名称,偏差名称,报警备注
西部片区调压站\,testPT_0101,进站压力,3,0.000,0.000,,0,1.6,0.000,0,0.000,4095.000,0,1,0.000,0.6,0.8,1,1.2,0.000,0.000,1,1,1,1,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
西部片区调压站\,testPT_0101_LoLoLimit,进站压力_SLL设定,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,0.000,0.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
西部片区调压站\,testPT_0101_LoLimit,进站压力_SL设定,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,0.000,0.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
西部片区调压站\,testPT_0101_HiLimit,进站压力_SH设定,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,0.000,0.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
西部片区调压站\,testPT_0101_HiHiLimit,进站压力_SHH设定,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,0.000,0.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
西部片区调压站\,testPT_0101_whz,进站压力_维护设定,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,0.000,0.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
西部片区调压站\,testPT_0102,广汇调压撬进口压力,3,0.000,0.000,,0,1.6,0.000,0,0.000,4095.000,0,1,0.000,0.6,0.8,1,1.2,0.000,0.000,1,1,1,1,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
西部片区调压站\,testPT_0102_LoLoLimit,广汇调压撬进口压力_SLL设定,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,0.000,0.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
西部片区调压站\,testPT_0102_LoLimit,广汇调压撬进口压力_SL设定,3,0.000,0.000,,0.000,100.000,0.000,0,0.000,4095.000,0,0,0.000,8.000,10.000,92.000,94.000,0.000,0.000,0,0,0,0,0,0,1,0.000,0,0,0,,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0,,低5限,低4限,低3限,低低报,低报,高报,高高报,高3限,高4限,高5限,变化率报警,偏差报警,
