Ver,11
DevCount,1,TextFormat,1
DevName,XBPQDYZ,LinkCount,316
NodePath,TagName,TagDesc,ParName,LinkDesc,驱动标志,modbus驱动标志,位起始位,扫描周期,使能位,数据类型,I/O数据地址,是否位访问,表示读取数据时需要获取的数据长度,高字节在前0低字节在前1高位在前,读写标志,取反(读出时),文件号,显示数据的格式,显示小数位的个数(若为一位 则 表示字节内部的高低字节 0 低字节 1 高字节)
西部片区调压站\,testPT_0101,进站压力,PV,HR Float:3161,HR Float:3161,-9999,0,0,0,2,3160,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0101_LoLoLimit,进站压力_SLL设定,PV,HR Float:3163,HR Float:3163,-9999,0,0,0,2,3162,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0101_LoLimit,进站压力_SL设定,PV,HR Float:3165,HR Float:3165,-9999,0,0,0,2,3164,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0101_HiLimit,进站压力_SH设定,PV,HR Float:3167,HR Float:3167,-9999,0,0,0,2,3166,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0101_HiHiLimit,进站压力_SHH设定,PV,HR Float:3169,HR Float:3169,-9999,0,0,0,2,3168,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0101_LL,进站压力_LL报警,PV,DO3161,DO3161,-9999,0,0,0,1,3160,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0101_L,进站压力_L报警,PV,DO3162,DO3162,-9999,0,0,0,1,3161,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0101_H,进站压力_H报警,PV,DO3163,DO3163,-9999,0,0,0,1,3162,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0101_HH,进站压力_HH报警,PV,DO3164,DO3164,-9999,0,0,0,1,3163,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0101_whz,进站压力_维护设定,PV,HR Float:3171,HR Float:3171,-9999,0,0,0,2,3170,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0101_whzzt,进站压力_维护使能,PV,DO3165,DO3165,-9999,0,0,0,1,3164,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0102,广汇调压撬进口压力,PV,HR Float:3173,HR Float:3173,-9999,0,0,0,2,3172,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0102_LoLoLimit,广汇调压撬进口压力_SLL设定,PV,HR Float:3175,HR Float:3175,-9999,0,0,0,2,3174,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0102_LoLimit,广汇调压撬进口压力_SL设定,PV,HR Float:3177,HR Float:3177,-9999,0,0,0,2,3176,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0102_HiLimit,广汇调压撬进口压力_SH设定,PV,HR Float:3179,HR Float:3179,-9999,0,0,0,2,3178,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0102_HiHiLimit,广汇调压撬进口压力_SHH设定,PV,HR Float:3181,HR Float:3181,-9999,0,0,0,2,3180,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0102_LL,广汇调压撬进口压力_LL报警,PV,DO3166,DO3166,-9999,0,0,0,1,3165,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0102_L,广汇调压撬进口压力_L报警,PV,DO3167,DO3167,-9999,0,0,0,1,3166,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0102_H,广汇调压撬进口压力_H报警,PV,DO3168,DO3168,-9999,0,0,0,1,3167,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0102_HH,广汇调压撬进口压力_HH报警,PV,DO3169,DO3169,-9999,0,0,0,1,3168,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0102_whz,广汇调压撬进口压力_维护设定,PV,HR Float:3183,HR Float:3183,-9999,0,0,0,2,3182,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0102_whzzt,广汇调压撬进口压力_维护使能,PV,DO3170,DO3170,-9999,0,0,0,1,3169,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0103,至新捷出口压力,PV,HR Float:3185,HR Float:3185,-9999,0,0,0,2,3184,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0103_LoLoLimit,至新捷出口压力_SLL设定,PV,HR Float:3187,HR Float:3187,-9999,0,0,0,2,3186,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0103_LoLimit,至新捷出口压力_SL设定,PV,HR Float:3189,HR Float:3189,-9999,0,0,0,2,3188,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0103_HiLimit,至新捷出口压力_SH设定,PV,HR Float:3191,HR Float:3191,-9999,0,0,0,2,3190,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0103_HiHiLimit,至新捷出口压力_SHH设定,PV,HR Float:3193,HR Float:3193,-9999,0,0,0,2,3192,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0103_LL,至新捷出口压力_LL报警,PV,DO3171,DO3171,-9999,0,0,0,1,3170,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0103_L,至新捷出口压力_L报警,PV,DO3172,DO3172,-9999,0,0,0,1,3171,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0103_H,至新捷出口压力_H报警,PV,DO3173,DO3173,-9999,0,0,0,1,3172,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0103_HH,至新捷出口压力_HH报警,PV,DO3174,DO3174,-9999,0,0,0,1,3173,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0103_whz,至新捷出口压力_维护设定,PV,HR Float:3195,HR Float:3195,-9999,0,0,0,2,3194,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0103_whzzt,至新捷出口压力_维护使能,PV,DO3175,DO3175,-9999,0,0,0,1,3174,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0104,至广汇出口压力,PV,HR Float:3197,HR Float:3197,-9999,0,0,0,2,3196,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0104_LoLoLimit,至广汇出口压力_SLL设定,PV,HR Float:3199,HR Float:3199,-9999,0,0,0,2,3198,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0104_LoLimit,至广汇出口压力_SL设定,PV,HR Float:3201,HR Float:3201,-9999,0,0,0,2,3200,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0104_HiLimit,至广汇出口压力_SH设定,PV,HR Float:3203,HR Float:3203,-9999,0,0,0,2,3202,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0104_HiHiLimit,至广汇出口压力_SHH设定,PV,HR Float:3205,HR Float:3205,-9999,0,0,0,2,3204,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0104_LL,至广汇出口压力_LL报警,PV,DO3176,DO3176,-9999,0,0,0,1,3175,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0104_L,至广汇出口压力_L报警,PV,DO3177,DO3177,-9999,0,0,0,1,3176,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0104_H,至广汇出口压力_H报警,PV,DO3178,DO3178,-9999,0,0,0,1,3177,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0104_HH,至广汇出口压力_HH报警,PV,DO3179,DO3179,-9999,0,0,0,1,3178,0,1,0,0,1,2,0,0
西部片区调压站\,testPT_0104_whz,至广汇出口压力_维护设定,PV,HR Float:3207,HR Float:3207,-9999,0,0,0,2,3206,0,4,0,0,1,7,0,0
西部片区调压站\,testPT_0104_whzzt,至广汇出口压力_维护使能,PV,DO3180,DO3180,-9999,0,0,0,1,3179,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0101,进站温度,PV,HR Float:3209,HR Float:3209,-9999,0,0,0,2,3208,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0101_LoLoLimit,进站温度_SLL设定,PV,HR Float:3211,HR Float:3211,-9999,0,0,0,2,3210,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0101_LoLimit,进站温度_SL设定,PV,HR Float:3213,HR Float:3213,-9999,0,0,0,2,3212,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0101_HiLimit,进站温度_SH设定,PV,HR Float:3215,HR Float:3215,-9999,0,0,0,2,3214,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0101_HiHiLimit,进站温度_SHH设定,PV,HR Float:3217,HR Float:3217,-9999,0,0,0,2,3216,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0101_LL,进站温度_LL报警,PV,DO3181,DO3181,-9999,0,0,0,1,3180,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0101_L,进站温度_L报警,PV,DO3182,DO3182,-9999,0,0,0,1,3181,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0101_H,进站温度_H报警,PV,DO3183,DO3183,-9999,0,0,0,1,3182,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0101_HH,进站温度_HH报警,PV,DO3184,DO3184,-9999,0,0,0,1,3183,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0101_whz,进站温度_维护设定,PV,HR Float:3219,HR Float:3219,-9999,0,0,0,2,3218,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0101_whzzt,进站温度_维护使能,PV,DO3185,DO3185,-9999,0,0,0,1,3184,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0102,至新捷出口温度,PV,HR Float:3221,HR Float:3221,-9999,0,0,0,2,3220,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0102_LoLoLimit,至新捷出口温度_SLL设定,PV,HR Float:3223,HR Float:3223,-9999,0,0,0,2,3222,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0102_LoLimit,至新捷出口温度_SL设定,PV,HR Float:3225,HR Float:3225,-9999,0,0,0,2,3224,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0102_HiLimit,至新捷出口温度_SH设定,PV,HR Float:3227,HR Float:3227,-9999,0,0,0,2,3226,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0102_HiHiLimit,至新捷出口温度_SHH设定,PV,HR Float:3229,HR Float:3229,-9999,0,0,0,2,3228,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0102_LL,至新捷出口温度_LL报警,PV,DO3186,DO3186,-9999,0,0,0,1,3185,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0102_L,至新捷出口温度_L报警,PV,DO3187,DO3187,-9999,0,0,0,1,3186,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0102_H,至新捷出口温度_H报警,PV,DO3188,DO3188,-9999,0,0,0,1,3187,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0102_HH,至新捷出口温度_HH报警,PV,DO3189,DO3189,-9999,0,0,0,1,3188,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0102_whz,至新捷出口温度_维护设定,PV,HR Float:3231,HR Float:3231,-9999,0,0,0,2,3230,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0102_whzzt,至新捷出口温度_维护使能,PV,DO3190,DO3190,-9999,0,0,0,1,3189,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0103,至广汇出口温度,PV,HR Float:3233,HR Float:3233,-9999,0,0,0,2,3232,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0103_LoLoLimit,至广汇出口温度_SLL设定,PV,HR Float:3235,HR Float:3235,-9999,0,0,0,2,3234,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0103_LoLimit,至广汇出口温度_SL设定,PV,HR Float:3237,HR Float:3237,-9999,0,0,0,2,3236,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0103_HiLimit,至广汇出口温度_SH设定,PV,HR Float:3239,HR Float:3239,-9999,0,0,0,2,3238,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0103_HiHiLimit,至广汇出口温度_SHH设定,PV,HR Float:3241,HR Float:3241,-9999,0,0,0,2,3240,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0103_LL,至广汇出口温度_LL报警,PV,DO3191,DO3191,-9999,0,0,0,1,3190,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0103_L,至广汇出口温度_L报警,PV,DO3192,DO3192,-9999,0,0,0,1,3191,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0103_H,至广汇出口温度_H报警,PV,DO3193,DO3193,-9999,0,0,0,1,3192,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0103_HH,至广汇出口温度_HH报警,PV,DO3194,DO3194,-9999,0,0,0,1,3193,0,1,0,0,1,2,0,0
西部片区调压站\,testTT_0103_whz,至广汇出口温度_维护设定,PV,HR Float:3243,HR Float:3243,-9999,0,0,0,2,3242,0,4,0,0,1,7,0,0
西部片区调压站\,testTT_0103_whzzt,至广汇出口温度_维护使能,PV,DO3195,DO3195,-9999,0,0,0,1,3194,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0101,至新捷调压区差压,PV,HR Float:3245,HR Float:3245,-9999,0,0,0,2,3244,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0101_LoLoLimit,至新捷调压区差压_SLL设定,PV,HR Float:3247,HR Float:3247,-9999,0,0,0,2,3246,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0101_LoLimit,至新捷调压区差压_SL设定,PV,HR Float:3249,HR Float:3249,-9999,0,0,0,2,3248,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0101_HiLimit,至新捷调压区差压_SH设定,PV,HR Float:3251,HR Float:3251,-9999,0,0,0,2,3250,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0101_HiHiLimit,至新捷调压区差压_SHH设定,PV,HR Float:3253,HR Float:3253,-9999,0,0,0,2,3252,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0101_LL,至新捷调压区差压_LL报警,PV,DO3196,DO3196,-9999,0,0,0,1,3195,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0101_L,至新捷调压区差压_L报警,PV,DO3197,DO3197,-9999,0,0,0,1,3196,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0101_H,至新捷调压区差压_H报警,PV,DO3198,DO3198,-9999,0,0,0,1,3197,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0101_HH,至新捷调压区差压_HH报警,PV,DO3199,DO3199,-9999,0,0,0,1,3198,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0101_whz,至新捷调压区差压_维护设定,PV,HR Float:3255,HR Float:3255,-9999,0,0,0,2,3254,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0101_whzzt,至新捷调压区差压_维护使能,PV,DO3200,DO3200,-9999,0,0,0,1,3199,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102,至新捷调压区差压,PV,HR Float:3257,HR Float:3257,-9999,0,0,0,2,3256,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_LoLoLimit,至新捷调压区差压_SLL设定,PV,HR Float:3259,HR Float:3259,-9999,0,0,0,2,3258,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_LoLimit,至新捷调压区差压_SL设定,PV,HR Float:3261,HR Float:3261,-9999,0,0,0,2,3260,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_HiLimit,至新捷调压区差压_SH设定,PV,HR Float:3263,HR Float:3263,-9999,0,0,0,2,3262,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_HiHiLimit,至新捷调压区差压_SHH设定,PV,HR Float:3265,HR Float:3265,-9999,0,0,0,2,3264,0,4,0,0,1,7,0,0
西部片区调压站\,testPDT_0102_LL,至新捷调压区差压_LL报警,PV,DO3201,DO3201,-9999,0,0,0,1,3200,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102_L,至新捷调压区差压_L报警,PV,DO3202,DO3202,-9999,0,0,0,1,3201,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102_H,至新捷调压区差压_H报警,PV,DO3203,DO3203,-9999,0,0,0,1,3202,0,1,0,0,1,2,0,0
西部片区调压站\,testPDT_0102_HH,至新捷调压区差压_HH报警,PV,DO3204,DO3204,-9999,0,0,0,1,3203,0,1,0,0,1,2,0,0
