Ver,11
DevCount,1,TextFormat,1
DevName,XBPQTYZ,LinkCount,205
NodePath,TagName,TagDesc,ParName,LinkDesc,连接标志,modbus批量建点标志,位运算结束位,批量下置,矢能点,操作类型,I/O数据地址,是否有位操作,表示驱动程序需要读取的数据长,单字节是0低八位；1高八位；,读写标志,数据实际长度,文件号,表示数据的格式,表示按位操作的那一位 或 单字节操作的高低字节 0 低字节 1 高字节
西部片区调压站\,B280902C_CS01,中心发中心/站控切换,PV,DO3001,DO3001,-9999,0,0,0,1,3000,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_CS01,站控发中心/站控切换,PV,DO3002,DO3002,-9999,0,0,0,1,3001,0,1,0,0,1,1,2,0
西部片区调压站\,B280902CS01,中心/站控状态反馈,PV,DO3003,DO3003,-9999,0,0,0,1,3002,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_RESET,中心综合复位命令,PV,DO3004,DO3004,-9999,0,0,0,1,3003,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_RESET,站控综合复位命令,PV,DO3005,DO3005,-9999,0,0,0,1,3004,0,1,0,0,1,1,2,0
西部片区调压站\,B280902RESET,综合复位反馈,PV,DO3006,DO3006,-9999,0,0,0,1,3005,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_WRITE_DT,中心HMI修改PCS时间命令,PV,DO3007,DO3007,-9999,0,0,0,1,3006,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_WRITE_DT,站控HMI修改PCS时间命令,PV,DO3008,DO3008,-9999,0,0,0,1,3007,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_AM_ESDV101,进站电动阀中心手自动切换控制,PV,DO3081,DO3081,-9999,0,0,0,1,3080,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_AM_ESDV101,进站电动阀站控手自动切换控制,PV,DO3082,DO3082,-9999,0,0,0,1,3081,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_OPEN_ESDV101,进站电动阀中心开控制,PV,DO3083,DO3083,-9999,0,0,0,1,3082,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_OPEN_ESDV101,进站电动阀站控开控制,PV,DO3084,DO3084,-9999,0,0,0,1,3083,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_CLOSE_ESDV101,进站电动阀中心关控制,PV,DO3085,DO3085,-9999,0,0,0,1,3084,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_CLOSE_ESDV101,进站电动阀站控关控制,PV,DO3086,DO3086,-9999,0,0,0,1,3085,0,1,0,0,1,1,2,0
西部片区调压站\,B280902AM_ESDV101,进站电动阀手自动状态,PV,DO3087,DO3087,-9999,0,0,0,1,3086,0,1,0,0,1,1,2,0
西部片区调压站\,B280902DA_ESDV101,进站电动阀开关阀门超时报警,PV,DO3088,DO3088,-9999,0,0,0,1,3087,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV101_OF,进站电动阀关到位,PV,DO3089,DO3089,-9999,0,0,0,1,3088,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV101_CF,进站电动阀开到位,PV,DO3090,DO3090,-9999,0,0,0,1,3089,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV101_RL,进站电动阀就地/远程状态指示,PV,DO3091,DO3091,-9999,0,0,0,1,3090,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV101_F,进站电动阀综合故障报警,PV,DO3092,DO3092,-9999,0,0,0,1,3091,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSC_ESDV101,进站电动阀关阀动作,PV,DO3093,DO3093,-9999,0,0,0,1,3092,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSO_ESDV101,进站电动阀开阀动作,PV,DO3094,DO3094,-9999,0,0,0,1,3093,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_AM_ESDV102,进口放空电动阀中心手自动切换控制,PV,DO3095,DO3095,-9999,0,0,0,1,3094,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_AM_ESDV102,进口放空电动阀站控手自动切换控制,PV,DO3096,DO3096,-9999,0,0,0,1,3095,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_OPEN_ESDV102,进口放空电动阀中心开控制,PV,DO3097,DO3097,-9999,0,0,0,1,3096,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_OPEN_ESDV102,进口放空电动阀站控开控制,PV,DO3098,DO3098,-9999,0,0,0,1,3097,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_CLOSE_ESDV102,进口放空电动阀中心关控制,PV,DO3099,DO3099,-9999,0,0,0,1,3098,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_CLOSE_ESDV102,进口放空电动阀站控关控制,PV,DO3100,DO3100,-9999,0,0,0,1,3099,0,1,0,0,1,1,2,0
西部片区调压站\,B280902AM_ESDV102,进口放空电动阀手自动状态,PV,DO3101,DO3101,-9999,0,0,0,1,3100,0,1,0,0,1,1,2,0
西部片区调压站\,B280902DA_ESDV102,进口放空电动阀开关阀门超时报警,PV,DO3102,DO3102,-9999,0,0,0,1,3101,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV102_OF,进口放空电动阀关到位,PV,DO3103,DO3103,-9999,0,0,0,1,3102,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV102_CF,进口放空电动阀开到位,PV,DO3104,DO3104,-9999,0,0,0,1,3103,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV102_RL,进口放空电动阀就地/远程状态指示,PV,DO3105,DO3105,-9999,0,0,0,1,3104,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV102_F,进口放空电动阀综合故障报警,PV,DO3106,DO3106,-9999,0,0,0,1,3105,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSC_ESDV102,进口放空电动阀关阀动作,PV,DO3107,DO3107,-9999,0,0,0,1,3106,0,1,0,0,1,1,2,0
